,date,snippet-count,positive-polarity,negative-polarity,polarity,happy,sad,angry,fear,surprise
0,2009-07-05,39,0.24535628392771244,-0.5,0.10831767438910293,0.16512820512820514,0.17051282051282052,0.01717948717948718,0.46512820512820513,0.18025641025641026
1,2009-07-12,302,0.2430090772292607,-0.20606999269005846,0.06934848030552264,0.12082781456953642,0.1630794701986755,0.03543046357615894,0.4758278145695364,0.1935430463576159
2,2009-07-19,150,0.2196427587563951,-0.23333206250819885,0.05430901274651274,0.054599999999999996,0.1664,0.03393333333333333,0.5241333333333333,0.21280000000000002
3,2009-07-26,125,0.23402611832611833,-0.31085858585858583,0.07448999518999519,0.060880000000000004,0.22208,0.042,0.43792000000000003,0.22856
4,2009-08-02,78,0.26881008211365354,-0.235625,0.1328294076954791,0.059743589743589745,0.21153846153846154,0.043974358974358974,0.4928205128205128,0.19128205128205128
5,2009-08-09,105,0.2517399637399637,-0.2977580492424242,0.04939188311688312,0.06819047619047619,0.1844761904761905,0.03857142857142857,0.47419047619047616,0.23342857142857143
6,2009-08-16,86,0.22673304473304473,-0.2141493055555555,0.09717959285546494,0.05848837209302326,0.1819767441860465,0.051162790697674425,0.5032558139534884,0.1930232558139535
7,2009-08-23,69,0.2583531746031746,-0.38020833333333326,0.10175233180667963,0.10405797101449277,0.16884057971014493,0.030869565217391304,0.41652173913043483,0.2794202898550725
8,2009-08-30,56,0.2622647849462365,-0.1399999999999999,0.14753264468666252,0.0642857142857143,0.19035714285714286,0.014464285714285716,0.5126785714285714,0.21696428571428572
9,2009-09-06,71,0.2967846700083542,-0.21042410714285711,0.03447266934942992,0.06338028169014084,0.20788732394366197,0.02380281690140845,0.48746478873239435,0.20352112676056336
10,2009-09-13,67,0.23890768398268394,-0.2677706916099773,0.0379681005147423,0.07253731343283583,0.22597014925373135,0.02029850746268657,0.46671641791044777,0.2143283582089552
11,2009-09-20,47,0.2331240981240981,,0.09725639756224859,0.08978723404255319,0.1676595744680851,0.04595744680851064,0.5110638297872341,0.18553191489361703
12,2009-09-27,214,0.2556206465002761,-0.2559624017957351,0.08662393551412242,0.087196261682243,0.20046728971962616,0.04504672897196262,0.4528504672897196,0.2094392523364486
